date,cases
5/1/2005,1
6/1/2005,0
7/1/2005,0
8/1/2005,0
9/1/2005,0
10/1/2005,0
11/1/2005,0
12/1/2005,0
1/1/2006,0
2/1/2006,0
3/1/2006,0
4/1/2006,0
5/1/2006,0
6/1/2006,0
7/1/2006,0
8/1/2006,0
9/1/2006,0
10/1/2006,0
11/1/2006,0
12/1/2006,0
1/1/2007,0
2/1/2007,0
3/1/2007,0
4/1/2007,0
5/1/2007,0
6/1/2007,0
7/1/2007,0
8/1/2007,0
9/1/2007,0
10/1/2007,0
11/1/2007,0
12/1/2007,0
1/1/2008,0
2/1/2008,0
3/1/2008,0
4/1/2008,0
5/1/2008,0
6/1/2008,0
7/1/2008,0
8/1/2008,0
9/1/2008,0
10/1/2008,0
11/1/2008,0
12/1/2008,0
1/1/2009,0
2/1/2009,0
3/1/2009,0
4/1/2009,0
5/1/2009,0
6/1/2009,0
7/1/2009,0
8/1/2009,0
9/1/2009,0
10/1/2009,0
11/1/2009,0
12/1/2009,0
1/1/2010,0
2/1/2010,0
3/1/2010,0
4/1/2010,0
5/1/2010,0
6/1/2010,0
7/1/2010,0
8/1/2010,0
9/1/2010,0
10/1/2010,0
11/1/2010,0
12/1/2010,0
1/1/2011,0
2/1/2011,1
3/1/2011,0
4/1/2011,0
5/1/2011,1
6/1/2011,1
7/1/2011,1
8/1/2011,0
9/1/2011,0
10/1/2011,1
11/1/2011,0
12/1/2011,0
1/1/2012,0
2/1/2012,2
3/1/2012,1
4/1/2012,0
5/1/2012,1
6/1/2012,0
7/1/2012,0
8/1/2012,0
9/1/2012,0
10/1/2012,0
11/1/2012,0
12/1/2012,1
1/1/2013,0
2/1/2013,0
3/1/2013,0
4/1/2013,0
5/1/2013,0
6/1/2013,1
7/1/2013,0
8/1/2013,0
9/1/2013,0
10/1/2013,0
11/1/2013,2
12/1/2013,1
1/1/2014,0
2/1/2014,0
3/1/2014,1
4/1/2014,0
5/1/2014,0
6/1/2014,0
7/1/2014,2
8/1/2014,0
9/1/2014,1
10/1/2014,0
11/1/2014,1
12/1/2014,2
1/1/2015,0
2/1/2015,0
3/1/2015,1
4/1/2015,0
5/1/2015,0
6/1/2015,2
7/1/2015,0
8/1/2015,1
9/1/2015,0
10/1/2015,1
11/1/2015,0
12/1/2015,3
1/1/2016,2
2/1/2016,1
3/1/2016,0
4/1/2016,1
5/1/2016,0
6/1/2016,2
7/1/2016,1
8/1/2016,0
9/1/2016,1
10/1/2016,5
11/1/2016,5
12/1/2016,1
1/1/2017,3
2/1/2017,4
3/1/2017,6
4/1/2017,5
5/1/2017,3
6/1/2017,6
7/1/2017,1
8/1/2017,0
9/1/2017,8
10/1/2017,2
11/1/2017,3
12/1/2017,7
1/1/2018,10
2/1/2018,10
3/1/2018,6
4/1/2018,4
5/1/2018,4
6/1/2018,9
7/1/2018,12
8/1/2018,2
9/1/2018,7
10/1/2018,9
11/1/2018,3
12/1/2018,7
1/1/2019,9
2/1/2019,14
3/1/2019,5
4/1/2019,10
5/1/2019,8
6/1/2019,6
7/1/2019,3
8/1/2019,5
9/1/2019,7
10/1/2019,4
11/1/2019,2
12/1/2019,5
1/1/2020,9
2/1/2020,1
3/1/2020,7
4/1/2020,4
5/1/2020,4
6/1/2020,3
7/1/2020,10
8/1/2020,2
9/1/2020,3
10/1/2020,4
11/1/2020,4
12/1/2020,7
1/1/2021,5
2/1/2021,7
3/1/2021,4
4/1/2021,8
5/1/2021,6
6/1/2021,5
7/1/2021,4
8/1/2021,6
9/1/2021,3
10/1/2021,6
11/1/2021,6
12/1/2021,4
1/1/2022,5
2/1/2022,1
3/1/2022,5
4/1/2022,6
5/1/2022,6
6/1/2022,2
7/1/2022,3
8/1/2022,0
9/1/2022,3
10/1/2022,3
11/1/2022,3
12/1/2022,4
1/1/2023,9
2/1/2023,4
3/1/2023,11
4/1/2023,5
5/1/2023,8
6/1/2023,7
7/1/2023,7
8/1/2023,7
9/1/2023,5
10/1/2023,4
11/1/2023,4
12/1/2023,1
